seed,checkpoint,eval_offset,focal,condition,soups,base_role,selected_role,oracle_role,decision_correct,true_partner_roles,inferred_partner_roles
0,40,2,1,frozen,3.0,2,2,2,1,0-1,0-1
0,40,2,1,dynamic,3.0,2,2,2,1,0-1,0-1
0,40,2,1,stale_budget,3.0,2,2,2,1,0-1,0-1
0,40,2,1,oracle,3.0,2,2,2,1,0-1,
0,40,2,2,base,3.0,1,1,1,1,0-2,
0,40,2,2,frozen,3.0,1,2,1,0,0-2,0-0
0,40,2,2,dynamic,3.0,1,1,1,1,0-2,0-2
0,40,2,2,stale_budget,3.0,1,2,1,0,0-2,0-0
0,40,2,2,oracle,3.0,1,1,1,1,0-2,
0,80,0,0,base,3.0,0,0,0,1,1-2,
0,80,0,0,frozen,2.0,0,2,0,0,1-2,0-1
0,80,0,0,dynamic,3.0,0,0,0,1,1-2,1-2
0,80,0,0,stale_budget,2.0,0,2,0,0,1-2,0-1
0,80,0,0,oracle,3.0,0,0,0,1,1-2,
0,80,0,1,base,3.0,1,1,1,1,0-2,
0,80,0,1,frozen,2.0,1,2,1,0,0-2,0-1
0,80,0,1,dynamic,3.0,1,1,1,1,0-2,0-2
0,80,0,1,stale_budget,2.0,1,2,1,0,0-2,0-1
0,80,0,1,oracle,3.0,1,1,1,1,0-2,
0,80,0,2,base,3.0,2,2,2,1,0-1,
0,80,0,2,frozen,3.0,2,2,2,1,0-1,0-0
0,80,0,2,dynamic,3.0,2,2,2,1,0-1,0-1
0,80,0,2,stale_budget,3.0,2,2,2,1,0-1,0-0
0,80,0,2,oracle,3.0,2,2,2,1,0-1,
0,80,1,0,base,3.0,0,0,0,1,1-2,
0,80,1,0,frozen,3.0,0,0,0,1,1-2,0-1
0,80,1,0,dynamic,3.0,0,0,0,1,1-2,1-2
0,80,1,0,stale_budget,3.0,0,0,0,1,1-2,0-1
0,80,1,0,oracle,3.0,0,0,0,1,1-2,
0,80,1,1,base,3.0,1,1,1,1,0-2,
0,80,1,1,frozen,3.0,1,2,1,0,0-2,0-1
0,80,1,1,dynamic,3.0,1,1,1,1,0-2,0-2
0,80,1,1,stale_budget,3.0,1,2,1,0,0-2,0-1
0,80,1,1,oracle,3.0,1,1,1,1,0-2,
0,80,1,2,base,3.0,2,2,2,1,0-1,
0,80,1,2,frozen,0.0,2,0,2,0,0-1,0-0
0,80,1,2,dynamic,3.0,2,2,2,1,0-1,0-1
0,80,1,2,stale_budget,0.0,2,0,2,0,0-1,0-0
0,80,1,2,oracle,3.0,2,2,2,1,0-1,
0,80,2,0,base,2.0,0,0,0,1,1-2,
0,80,2,0,frozen,1.0,0,2,0,0,1-2,0-1
0,80,2,0,dynamic,2.0,0,0,0,1,1-2,1-2
0,80,2,0,stale_budget,1.0,0,2,0,0,1-2,0-1
0,80,2,0,oracle,2.0,0,0,0,1,1-2,
0,80,2,1,base,2.0,1,1,1,1,0-2,
0,80,2,1,frozen,1.0,1,2,1,0,0-2,0-1
0,80,2,1,dynamic,2.0,1,1,1,1,0-2,0-2
0,80,2,1,stale_budget,1.0,1,2,1,0,0-2,0-1
0,80,2,1,oracle,2.0,1,1,1,1,0-2,
0,80,2,2,base,2.0,2,2,2,1,0-1,
0,80,2,2,frozen,2.0,2,2,2,1,0-1,0-0
0,80,2,2,dynamic,2.0,2,2,2,1,0-1,0-1
0,80,2,2,stale_budget,2.0,2,2,2,1,0-1,0-0
0,80,2,2,oracle,2.0,2,2,2,1,0-1,
0,120,0,0,base,1.0,0,0,1,0,0-2,
0,120,0,0,frozen,0.0,0,2,1,0,0-2,0-1
0,120,0,0,dynamic,2.0,0,1,1,1,0-2,0-2
0,120,0,0,stale_budget,0.0,0,2,1,0,0-2,0-1
0,120,0,0,oracle,2.0,0,1,1,1,0-2,
0,120,0,1,base,1.0,0,0,1,0,0-2,
0,120,0,1,frozen,2.0,0,2,1,0,0-2,0-1
0,120,0,1,dynamic,1.0,0,0,1,0,0-2,1-2
0,120,0,1,stale_budget,2.0,0,2,1,0,0-2,0-1
0,120,0,1,oracle,3.0,0,1,1,1,0-2,
0,120,0,2,base,1.0,2,2,2,1,0-0,
0,120,0,2,frozen,1.0,2,2,2,1,0-0,0-0
0,120,0,2,dynamic,1.0,2,2,2,1,0-0,1-0
0,120,0,2,stale_budget,1.0,2,2,2,1,0-0,0-0
0,120,0,2,oracle,1.0,2,2,2,1,0-0,
0,120,1,0,base,3.0,1,1,1,1,0-2,
0,120,1,0,frozen,2.0,1,2,1,0,0-2,0-1
0,120,1,0,dynamic,3.0,1,1,1,1,0-2,0-2
0,120,1,0,stale_budget,2.0,1,2,1,0,0-2,0-1
0,120,1,0,oracle,3.0,1,1,1,1,0-2,
0,120,1,1,base,3.0,0,0,0,1,1-2,
0,120,1,1,frozen,2.0,0,2,0,0,1-2,0-1
0,120,1,1,dynamic,3.0,0,0,0,1,1-2,1-2
0,120,1,1,stale_budget,2.0,0,2,0,0,1-2,0-1
0,120,1,1,oracle,3.0,0,0,0,1,1-2,
0,120,1,2,base,3.0,2,2,2,1,1-0,
0,120,1,2,frozen,3.0,2,2,2,1,1-0,0-0
0,120,1,2,dynamic,3.0,2,2,2,1,1-0,1-0
0,120,1,2,stale_budget,3.0,2,2,2,1,1-0,0-0
0,120,1,2,oracle,3.0,2,2,2,1,1-0,
0,120,2,0,base,2.0,1,1,1,1,0-2,
0,120,2,0,frozen,0.0,1,0,1,0,0-2,0-1
0,120,2,0,dynamic,0.0,1,0,1,0,0-2,1-2
0,120,2,0,stale_budget,0.0,1,0,1,0,0-2,0-1
0,120,2,0,oracle,2.0,1,1,1,1,0-2,
0,120,2,1,base,2.0,0,0,0,1,1-2,
0,120,2,1,frozen,2.0,0,2,0,0,1-2,0-1
0,120,2,1,dynamic,2.0,0,0,0,1,1-2,1-2
0,120,2,1,stale_budget,2.0,0,2,0,0,1-2,0-1
0,120,2,1,oracle,2.0,0,0,0,1,1-2,
0,120,2,2,base,2.0,2,2,2,1,1-0,
0,120,2,2,frozen,0.0,2,0,2,0,1-0,0-0
0,120,2,2,dynamic,2.0,2,2,2,1,1-0,1-0
0,120,2,2,stale_budget,0.0,2,0,2,0,1-0,0-0
0,120,2,2,oracle,2.0,2,2,2,1,1-0,
0,160,0,0,base,3.0,0,0,0,1,1-2,
0,160,0,0,frozen,3.0,0,0,0,1,1-2,0-1
0,160,0,0,dynamic,1.0,0,1,0,0,1-2,0-2
0,160,0,0,stale_budget,3.0,0,0,0,1,1-2,0-1
0,160,0,0,oracle,3.0,0,0,0,1,1-2,
0,160,0,1,base,3.0,1,1,1,1,0-2,
0,160,0,1,frozen,3.0,1,2,1,0,0-2,0-1
0,160,0,1,dynamic,3.0,1,1,1,1,0-2,0-2
0,160,0,1,stale_budget,3.0,1,2,1,0,0-2,0-1
0,160,0,1,oracle,3.0,1,1,1,1,0-2,
0,160,0,2,base,3.0,2,2,2,1,0-1,
0,160,0,2,frozen,0.0,2,0,2,0,0-1,0-0
0,160,0,2,dynamic,3.0,2,2,2,1,0-1,0-1
0,160,0,2,stale_budget,0.0,2,0,2,0,0-1,0-0
0,160,0,2,oracle,3.0,2,2,2,1,0-1,
0,160,1,0,base,1.0,0,0,1,0,0-2,
0,160,1,0,frozen,0.0,0,2,1,0,0-2,0-1
0,160,1,0,dynamic,2.0,0,1,1,1,0-2,0-2
0,160,1,0,stale_budget,0.0,0,2,1,0,0-2,0-1
0,160,1,0,oracle,2.0,0,1,1,1,0-2,
0,160,1,1,base,1.0,0,0,1,0,0-2,
0,160,1,1,frozen,2.0,0,2,1,0,0-2,0-1
0,160,1,1,dynamic,3.0,0,1,1,1,0-2,0-2
0,160,1,1,stale_budget,2.0,0,2,1,0,0-2,0-1
0,160,1,1,oracle,3.0,0,1,1,1,0-2,
0,160,1,2,base,1.0,2,2,2,1,0-0,
0,160,1,2,frozen,1.0,2,2,2,1,0-0,0-0
0,160,1,2,dynamic,1.0,2,2,2,1,0-0,0-0
0,160,1,2,stale_budget,1.0,2,2,2,1,0-0,0-0
0,160,1,2,oracle,1.0,2,2,2,1,0-0,
0,160,2,0,base,1.0,0,0,1,0,0-2,
0,160,2,0,frozen,0.0,0,2,1,0,0-2,0-1
0,160,2,0,dynamic,2.0,0,1,1,1,0-2,0-2
0,160,2,0,stale_budget,0.0,0,2,1,0,0-2,0-1
0,160,2,0,oracle,2.0,0,1,1,1,0-2,
0,160,2,1,base,1.0,0,0,1,0,0-2,
0,160,2,1,frozen,2.0,0,2,1,0,0-2,0-1
0,160,2,1,dynamic,3.0,0,1,1,1,0-2,0-2
0,160,2,1,stale_budget,2.0,0,2,1,0,0-2,0-1
0,160,2,1,oracle,3.0,0,1,1,1,0-2,
0,160,2,2,base,1.0,2,2,2,1,0-0,
0,160,2,2,frozen,1.0,2,2,2,1,0-0,0-0
0,160,2,2,dynamic,1.0,2,2,2,1,0-0,0-0
0,160,2,2,stale_budget,1.0,2,2,2,1,0-0,0-0
0,160,2,2,oracle,1.0,2,2,2,1,0-0,
